student_id,name,age,gender,department,semester,attendance_percentage,study_hours_per_day,assignment_completion_percentage,internal_marks,previous_gpa,risk_level
STU00001,Student_1,24,Female,Computer Science,6,94.66,4.34,45.29,46.54,5.9,High
STU00002,Student_2,24,Male,Computer Science,8,97.16,3.83,61.29,56.28,9.71,Low
STU00003,Student_3,23,Female,Electronics,5,75.58,4.2,83.96,54.3,6.97,Medium
STU00004,Student_4,19,Female,Mechanical,2,66.7,3.92,86.23,52.99,5.34,High
STU00005,Student_5,21,Male,Civil,2,88.88,5.68,80.88,68.84,5.64,Medium
STU00006,Student_6,19,Male,Civil,4,99.31,6.35,92.48,74.14,7.17,Low
STU00007,Student_7,22,Female,Civil,5,94.9,2.15,93.77,61.72,9.76,Low
STU00008,Student_8,23,Male,Electronics,6,84.86,7.82,61.85,59.36,4.9,Medium
STU00009,Student_9,22,Female,Information Technology,2,58.89,2.22,88.58,40.77,6.09,High
STU00010,Student_10,18,Male,Mechanical,6,66.14,5.5,81.54,53.7,6.03,High
STU00011,Student_11,18,Female,Civil,5,96.09,1.18,64.12,56.03,6.36,High
STU00012,Student_12,21,Male,Computer Science,8,97.78,4.76,53.99,51.11,5.52,High
STU00013,Student_13,22,Female,Electronics,7,70.12,2.35,47.14,53.02,9.21,High
STU00014,Student_14,18,Male,Civil,8,59.1,5.02,41.76,56.48,9.46,Medium
STU00015,Student_15,18,Male,Computer Science,2,87.42,3.47,50.83,53.79,5.13,High
STU00016,Student_16,24,Female,Mechanical,3,57.49,2.06,77.32,54.02,7.42,High
STU00017,Student_17,22,Male,Computer Science,3,70.39,1.16,57.89,34.67,5.8,High
STU00018,Student_18,21,Male,Information Technology,2,66.56,7.04,90.91,71.05,8.96,Low
STU00019,Student_19,20,Female,Electronics,3,58.58,2.9,75.5,61.29,9.95,Medium
STU00020,Student_20,23,Female,Computer Science,7,81.31,3.81,94.86,60.3,8.92,Low
STU00021,Student_21,21,Female,Electronics,3,85.03,7.67,97.24,78.06,4.78,Low
STU00022,Student_22,20,Male,Civil,5,82.22,1.96,46.78,42.79,8.26,High
STU00023,Student_23,24,Male,Mechanical,6,94.28,1.47,62.76,65.63,9.91,Medium
STU00024,Student_24,19,Female,Mechanical,2,81.66,6.82,91.33,58.9,5.01,Medium
